"CZB_ID","COVID19","NotCovid"
"RR057e_00202",0.24101,0.75899
"RR057e_00753",0.28733,0.71267
"RR057e_00505",0.05938,0.94062
"RR057i_00083",0.21144,0.78856
"RR057e_00047",0.33387,0.66613
"RR057e_00302",0.01768,0.98232
"RR057e_00138",0.28904,0.71096
"RR057e_00049",0.04982,0.95018
"RR057e_00590",0.03646,0.96354
"RR057i_00121",0.82862,0.17138
"RR057e_00295",0.02869,0.97131
"RR057e_00765",0.06137,0.93863
"RR057e_00418",0.12168,0.87832
"RR057e_00140",0.04219,0.95781
"RR057e_00757",0.41518,0.58482
"RR057e_00742",0.07676,0.92324
"RR057e_00577",0.48924,0.51076
"RR057e_00324",0.05169,0.94831
"RR057e_00246",0.1753,0.8247
"RR057e_00737",0.92943,0.07057
"RR057e_00729",0.43976,0.56024
"RR057e_00086",0.10466,0.89534
"RR057e_00084",0.90687,0.09313
"RR057i_00154",0.96371,0.03629
"RR057i_00139",0.85551,0.14449
"RR057e_00250",0.35632,0.64368
"RR057e_00449",0.08804,0.91196
"RR057i_00119",0.12914,0.87086
"RR057e_00416",0.03198,0.96802
"RR057e_00088",0.11,0.89
"RR057e_00723",0.28642,0.71358
"RR057i_00151",0.81634,0.18366
"RR057e_00133",0.20096,0.79904
"RR057e_00540",0.13829,0.86171
"RR057e_00752",0.30777,0.69223
"RR057e_00259",0.00731,0.99269
"RR057e_00260",0.18231,0.81769
"RR057i_00180",0.38121,0.61879
"RR057e_00586",0.04166,0.95834
"RR057e_00488",0.32087,0.67913
"RR057i_00094",0.82036,0.17964
"RR057i_00096",0.87704,0.12296
"RR057i_00062",0.87349,0.12651
"RR057i_00081",0.94667,0.05333
"RR057e_00746",0.48931,0.51069
"RR057i_00123",0.96804,0.03196
"RR057i_00069",0.79486,0.20514
"RR057i_00114",0.85567,0.14433
"RR057e_00080",0.03087,0.96913
"RR057e_00285",0.0317,0.9683
"RR057e_00560",0.04237,0.95763
"RR057i_00167",0.34026,0.65974
"RR057e_00749",0.97976,0.02024
"RR057e_00437",0.25481,0.74519
"RR057e_00489",0.16667,0.83333
"RR057e_00280",0.13447,0.86553
"RR057i_00076",0.90373,0.09627
"RR057e_00224",0.02292,0.97708
"RR057e_00216",0.29936,0.70064
"RR057e_00051",0.01772,0.98228
"RR057e_00754",0.98043,0.01957
"RR057i_00176",0.09045,0.90955
"RR057e_00079",0.01663,0.98337
"RR057e_00291",0.01251,0.98749
"RR057e_00222",0.10569,0.89431
"RR057e_00318",0.1645,0.8355
"RR057i_00165",0.92433,0.07567
"RR057e_00741",0.89658,0.10342
"RR057e_00134",0.66108,0.33892
"RR057e_00066",0.04715,0.95285
